Time,Time Code,Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]"
2015,YR2015,North Macedonia,MKD,75.4024390243902,9.72691849418736,4.12,..,23.9221832208017,11.7603595286911,53.7301817323071,97.5057069828448,100
2015,YR2015,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,99.9801833884838,34.6153846153846
2015,YR2015,Norway,NOR,82.3048780487805,1.48183029554502,8.61,7.52334976196289,31.5986317732861,6.96157381213814,55.9833722181738,100,2.02465674369929
2015,YR2015,Oman,OMN,77.687,1.72976080728779,3.6793406,..,53.0985352378875,8.91611568746014,50.1154825983089,90.238487000101,100
2015,YR2015,Pakistan,PAK,65.697,23.2628407756242,0.67638046,2.38609004020691,19.602614668814,12.3014420948153,52.6865814332807,89.5912469503616,100
2015,YR2015,Palau,PLW,..,2.93510778922999,5.51038313,..,7.97754540149257,0.949156285084481,78.5938231189761,99.5202624333344,..
2015,YR2015,Panama,PAN,77.468,2.94961630201192,4.36895657,3.36669993400574,26.5789491044727,6.26013276143563,66.652155427,92.9137986450208,87.2894289287745
2015,YR2015,Papua New Guinea,PNG,64.701,17.4569301700841,1.37782788,1.66600000858307,34.8049301310481,1.77710948034908,43.2810108554466,42.9687651734413,99.9999999999861
2015,YR2015,Paraguay,PRY,73.191,9.44042072515891,3.1565783,3.33377814292908,34.5822537534796,19.4164870545878,48.6423009672103,96.0186086116123,100
2015,YR2015,Peru,PER,75.621,7.04564405972046,3.02036071,3.96933007240295,30.3378798708175,13.7880201715375,54.0425799449386,90.5504162789145,99.9733888894223
2015,YR2015,Philippines,PHL,71.268,10.9964991547046,1.47,2.8305230140686,30.4819509830595,19.9280223739769,58.5215498600845,91.9773505590147,99.4330928712387
2015,YR2015,Poland,POL,77.4512195121951,2.48363694237949,4.44,4.81700992584229,30.9939300295541,17.6693391336256,55.299619134775,94.7645729803903,99.9962149714443
2015,YR2015,Portugal,PRT,81.1243902439025,1.97541250129625,5.75,4.88554000854492,19.5938498258589,12.2513540948869,65.4357541364739,99.1816088485954,27.458494054092
2015,YR2015,Puerto Rico,PRI,79.695,0.826985117363399,..,..,50.9382784121963,47.9026461782531,47.8759473956595,99.4254497570333,14.6788990825688
2015,YR2015,Qatar,QAT,80.064,0.161318389310859,3.19502282,..,57.4407932011631,8.91552530998815,46.0682464857373,99.9459484654924,100
2015,YR2015,Romania,ROU,74.9121951219512,4.42592968395419,3.85,3.10695004463196,30.811807082352,20.2080251087435,52.6060117162535,100,99.3790947507232
2015,YR2015,Russian Federation,RUS,71.1834146341463,3.87310448732299,3.11,3.83402991294861,29.7940599874349,12.3830188656764,56.1424909685464,96.4588851939079,91.8274018970421
2015,YR2015,Rwanda,RWA,65.298,23.9810045274251,2.10574889,3.64711999893188,17.4466631881327,6.83354613396964,49.7430202653232,58.4752230978059,100
2015,YR2015,Samoa,WSM,72.515,8.32395364948745,4.51301289,4.61519002914429,14.5012807041262,6.4439291450999,69.3591744269817,92.2280018053418,99.9999999994243
